".id","id","citation_id","site_id","treatment_id","name","date","time","cultivar_id","specie_id","mean","statname","stat","n","vname","month","lon","lat","control","greenhouse","mean_unconverted","stat_unconverted"
"leaf_respiration_rate_m2",34660,160,NA,NA,NA,NA,"00:00:00",NA,938,0.76,NA,NA,NA,"leaf_respiration_rate_m2",NA,NA,NA,NA,NA,0.76,NA
"stomatal_slope.BB",49919,656,76,2085,"observational",NA,NA,10,938,3.53,"SE",0.086,4,"stomatal_slope.BB",NA,-88.202,40.0637,TRUE,FALSE,3.53,0.086
"SLA",132,45,99,89,"burned",1983-06-03,"00:00:00",51,938,18.6,"SE",0.48,10,"SLA",6,-96.58,39.01,FALSE,FALSE,18.6,0.48
"SLA",133,45,99,553,"unburned",1983-06-03,"00:00:00",51,938,19.5,"SE",1.05,10,"SLA",6,-96.58,39.01,TRUE,FALSE,19.5,1.05
"SLA",281,9,102,100,"watered",1997-07-01,"00:00:00",3,938,19.57,NA,NA,8,"SLA",7,-72.85,44.5,TRUE,TRUE,19.57,NA
"SLA",282,9,102,98,"dry",1997-07-01,"00:00:00",3,938,19.01,NA,NA,8,"SLA",7,-72.85,44.5,FALSE,TRUE,19.01,NA
"SLA",283,9,102,100,"watered",1997-07-01,"00:00:00",3,938,23.75,NA,NA,8,"SLA",7,-72.85,44.5,TRUE,TRUE,23.75,NA
"SLA",284,9,100,98,"dry",1997-08-24,"00:00:00",85,938,24.27,NA,NA,8,"SLA",8,-95.4,29.72,FALSE,TRUE,24.27,NA
"SLA",285,9,102,94,"0.3 mM N",1998-07-24,"00:00:00",3,938,24.81,NA,NA,4,"SLA",7,-72.85,44.5,TRUE,TRUE,24.81,NA
"SLA",286,9,102,95,"1.0 mM N",1998-07-23,"00:00:00",3,938,25.58,NA,NA,4,"SLA",7,-72.85,44.5,FALSE,TRUE,25.58,NA
"SLA",287,9,102,96,"10.0 mM N",1998-07-23,"00:00:00",3,938,22.27,NA,NA,4,"SLA",7,-72.85,44.5,FALSE,TRUE,22.27,NA
"SLA",288,9,102,94,"0.3 mM N",1998-07-23,"00:00:00",85,938,26.04,NA,NA,4,"SLA",7,-72.85,44.5,TRUE,TRUE,26.04,NA
"SLA",289,9,102,95,"1.0 mM N",1998-07-23,"00:00:00",85,938,27.86,NA,NA,4,"SLA",7,-72.85,44.5,FALSE,TRUE,27.86,NA
"SLA",290,9,102,96,"10.0 mM N",1998-07-23,"00:00:00",85,938,25.32,NA,NA,4,"SLA",7,-72.85,44.5,FALSE,TRUE,25.32,NA
"SLA",2583,203,359,1,"observational",NA,"00:00:00",51,938,20.9,"SE",3.26,7,"SLA",NA,-37.63,-7.96,TRUE,TRUE,20.9,3.26
"SLA",2584,62,368,498,"Control",2009-07-24,"00:00:00",19,938,14.17,"SE",4.82,4,"SLA",7,-88.2373,40.0415,TRUE,FALSE,14.17,4.82
"SLA",2585,62,368,498,"Control",2009-08-28,"00:00:00",19,938,13.17,"SE",1.45,4,"SLA",8,-88.2373,40.0415,TRUE,FALSE,13.17,1.45
"SLA",2588,62,368,499,"Nfert",2009-07-24,"00:00:00",19,938,15.69,"SE",5.12,4,"SLA",7,-88.2373,40.0415,FALSE,FALSE,15.69,5.12
"SLA",2589,62,368,499,"Nfert",2009-08-28,"00:00:00",19,938,13.84,"SE",2.27,4,"SLA",8,-88.2373,40.0415,FALSE,FALSE,13.84,2.27
"SLA",2592,62,368,498,"Control",2009-06-16,"00:00:00",19,938,16.55,"SE",5.85,4,"SLA",6,-88.2373,40.0415,TRUE,FALSE,16.55,5.85
"SLA",2593,62,368,498,"Control",2009-07-24,"00:00:00",19,938,13.65,"SE",2.24,4,"SLA",7,-88.2373,40.0415,TRUE,FALSE,13.65,2.24
"SLA",2594,62,368,498,"Control",2009-08-28,"00:00:00",19,938,12.94,"SE",2.8,4,"SLA",8,-88.2373,40.0415,TRUE,FALSE,12.94,2.8
"SLA",2597,62,368,499,"Nfert",2009-06-16,"00:00:00",19,938,15.4,"SE",1.74,4,"SLA",6,-88.2373,40.0415,FALSE,FALSE,15.4,1.74
"SLA",2598,62,368,499,"Nfert",2009-07-24,"00:00:00",19,938,14.62,"SE",2.71,4,"SLA",7,-88.2373,40.0415,FALSE,FALSE,14.62,2.71
"SLA",2599,62,368,499,"Nfert",2009-08-28,"00:00:00",19,938,12.84,"SE",0.78,4,"SLA",8,-88.2373,40.0415,FALSE,FALSE,12.84,0.78
"SLA",8477,196,282,1,"observational",1989-06-01,"00:00:00",32,938,21.3,NA,NA,4,"SLA",6,-80.42,37.18,TRUE,FALSE,21.3,NA
"SLA",8478,196,282,1,"observational",1989-06-01,"00:00:00",32,938,21.7,NA,NA,4,"SLA",6,-80.42,37.18,TRUE,FALSE,21.7,NA
"SLA",8479,196,282,1,"observational",1989-06-10,"00:00:00",32,938,19.6,NA,NA,4,"SLA",6,-80.42,37.18,TRUE,FALSE,19.6,NA
"SLA",8480,196,282,1,"observational",1989-06-10,"00:00:00",32,938,21.7,NA,NA,4,"SLA",6,-80.42,37.18,TRUE,FALSE,21.7,NA
"SLA",8481,196,282,1,"observational",1989-06-10,"00:00:00",32,938,20,NA,NA,4,"SLA",6,-80.42,37.18,TRUE,FALSE,20,NA
