"id","genus","species","scientificname"
1068,"Populus","","Populus"
1069,"Populus","alba","Populus alba"
1070,"Populus","balsamifera","Populus balsamifera"
1071,"Populus","deltoides","Populus deltoides sub monilifera"
1072,"Populus","deltoides","Populus deltoides"
1073,"Populus","euramericana","Populus euramericana"
1076,"Populus","grandidentata","Populus grandidentata"
1077,"Populus","heterophylla","Populus heterophylla"
1078,"Populus","maximowiczii","Populus maximowiczii"
1079,"Populus","deltoides","Populus deltoides ssp. deltoides"
1080,"Populus","tremuloides","Populus tremuloides"
2068,"Populus","balsimifera ssp. trichocarpa","Populus balsamifera ssp. trichocarpa"
2579,"Populus","nigra","Populus nigra"
2808,"Populus","xcanadensis","Populus × canadensis"
2809,"Populus","fremontii","Populus fremontii"
2860,"Populus","deltoides × nigra","P. deltoides × P. nigra"
2861,"Populus","tremula × tremuloides","Populus tremula × tremuloides"
2862,"Populus","trichocarpa × deltoides","Populus trichocarpa × deltoides"
2863,"Populus","P. maximowiczii × P. trichocarpa","P. maximowiczii × P. trichocarpa"
2864,"Populus","","Populus spp."
2866,"Populus","deltoides × trichocarpa","P. deltoides × P. trichocarpa"
2867,"Populus","trichocarpa × balsamifera","P. trichocarpa × P. balsamifera"
2868,"Populus","tristis","Populus tristis Fisch."
2873,"Populus","maximowiczii × nigra","Populus maximowiczii × P. nigra"
2874,"Populus","euramericana","Populus euramericana Guinier"
2875,"Populus","rasumowskyana","Populus × rasumowskyana"
2876,"Populus","tremula","P. tremula"
2877,"Populus","nigra × maximowiczii","Populus nigra × P. maximowiczii"
2879,"Populus","maximowiczii × berolinensis","P. maximowiczii × P. berolinensis"
2880,"Populus","balsamifera × tremula","P. balsamifera × P. tremula"
2881,"Populus","trichocarpa × koreana","p. trichocarpa × p. koreana"
2883,"Populus","tremuloides × tremula","P. tremuloides × P. tremula"
2884,"Populus","tremuloides × tremuloides","p. tremuloides × p. tremuloides"
2885,"Populus","trichocarpa × maximowiczii","P. trichocarpa × P. maximowiczii"
2886,"Populus","balsamifera × maximowiczii","P. balsamifera × P. maximowiczii"
2887,"Populus","maximowiczii × balsamifera","p. maximowiczii × p. balsamifera"
2952,"Populus","Populus maximowiczii Henry × trichocarpa","Populus maximowiczii Henry × trichocarpa"
2953,"Populus","balsamifera L. ssp. trichocarpa","Populus balsamifera L. ssp. trichocarpa"
2955,"Populus","trichocarpa ","Populus trichocarpa"
2956,"Populus","deltoides × petrowskyana","P. deltoides × P.petrowskyana"
2957,"Populus","balsamifera × simonii","P. balsamifera × P. simonii"
39315,"Populus","","Populus ×acuminata"
39336,"Populus","","Populus angustifolia"
39356,"Populus","","Populus balsamifera ssp. balsamifera"
39377,"Populus","","Populus ×berolinensis"
39387,"Populus","","Populus ×brayshawii"
39408,"Populus","","Populus ×canescens"
39467,"Populus","","Populus fremontii ssp. fremontii"
39477,"Populus","","Populus fremontii ssp. mesetae"
39497,"Populus","","Populus ×heimburgeri"
39518,"Populus","","Populus ×hinckleyana"
39529,"Populus","","Populus ×inopina"
39540,"Populus","","Populus ×jackii"
39581,"Populus","","Populus ×petrowskiana"
39592,"Populus","","Populus ×rouleauiana"
39603,"Populus","","Populus simonii"
39614,"Populus","","Populus ×smithii"
39625,"Populus","","Populus tomentosa"
39636,"Populus","","Populus tremula"
