".id","id","citation_id","site_id","treatment_id","name","date","time","cultivar_id","specie_id","mean","statname","stat","n","vname","month","lon","lat","control","greenhouse","mean_unconverted","stat_unconverted"
"Jmax",24080,100,443,87,"Observational",1998-07-15 00:00:00,"00:00:00",NA,2864,163,NA,21.07,4,"Jmax",7,-3.15,51.97,TRUE,NA,163,21.07
"Jmax",24081,100,443,87,"Observational",1998-07-15 00:00:00,"00:00:00",NA,2864,221,NA,12.42,4,"Jmax",7,-3.15,51.97,TRUE,NA,221,12.42
"Jmax",24082,100,443,87,"Observational",1998-07-15 00:00:00,"00:00:00",NA,2864,156,NA,16.09,4,"Jmax",7,-3.15,51.97,TRUE,NA,156,16.09
"Jmax",24083,100,443,87,"Observational",1998-07-15 00:00:00,"00:00:00",NA,2864,215,NA,27.71,4,"Jmax",7,-3.15,51.97,TRUE,NA,215,27.71
"Jmax",24084,100,443,87,"Observational",1998-07-15 00:00:00,"00:00:00",NA,2864,151,NA,16.07,4,"Jmax",7,-3.15,51.97,TRUE,NA,151,16.07
"Jmax",37533,381,602,1220,"observational",2010-06-01 00:00:00,"00:00:00",NA,1072,130.2742,NA,23.6801,5,"Jmax",6,NA,NA,TRUE,NA,130.2742,23.6801
"Jmax",44609,485,57,1515,"Observational- Dillaway",NA,"00:00:00",NA,1080,26.5,"SE",2.7,4,"Jmax",NA,-88.67,37.45,TRUE,FALSE,26.5,2.7
"Jmax",44611,485,57,1515,"Observational- Dillaway",NA,"00:00:00",NA,1072,23.8,"SE",2.1,4,"Jmax",NA,-88.67,37.45,TRUE,FALSE,23.8,2.1
"Jmax",44613,485,799,1515,"Observational- Dillaway",NA,"00:00:00",NA,1080,17.6,"SE",1.9,4,"Jmax",NA,-89.35,43.3,TRUE,FALSE,17.6,1.9
"Jmax",44615,485,799,1515,"Observational- Dillaway",NA,"00:00:00",NA,1072,24.8,"SE",4.9,4,"Jmax",NA,-89.35,43.3,TRUE,FALSE,24.8,4.9
"Jmax",44617,485,798,1515,"Observational- Dillaway",NA,"00:00:00",NA,1080,34.4,"SE",1.3,4,"Jmax",NA,-89.37,45.65,TRUE,FALSE,34.4,1.3
"Jmax",44619,485,798,1515,"Observational- Dillaway",NA,"00:00:00",NA,1072,42.9,"SE",2.8,4,"Jmax",NA,-89.37,45.65,TRUE,FALSE,42.9,2.8
"Jmax",25550,51,NA,1,"observational",NA,"00:00:00",NA,1072,117,"SE",1,1,"Jmax",NA,NA,NA,TRUE,NA,117,1
"Jmax",25551,51,NA,1,"observational",NA,"00:00:00",NA,2808,90,"SE",2,2,"Jmax",NA,NA,NA,TRUE,NA,90,2
"Jmax",25552,51,NA,1,"observational",NA,"00:00:00",NA,2809,237,"SE",4,1,"Jmax",NA,NA,NA,TRUE,NA,237,4
"Jmax",25553,51,NA,1,"observational",NA,"00:00:00",NA,1076,169,"SE",4,2,"Jmax",NA,NA,NA,TRUE,NA,169,4
"Jmax",25554,51,NA,1,"observational",NA,"00:00:00",NA,1080,68,"SE",7,1,"Jmax",NA,NA,NA,TRUE,NA,68,7
"Jmax",39542,441,674,1403,"Observational",NA,"00:00:00",NA,1080,55,NA,NA,NA,"Jmax",NA,-147.87,64.82,TRUE,NA,55,NA
"Jmax",39544,441,674,1403,"Observational",NA,"00:00:00",NA,39387,55,NA,NA,NA,"Jmax",NA,-147.87,64.82,TRUE,NA,55,NA
"Jmax",44068,563,863,1675,"observational",NA,"00:00:00",NA,2860,128,"SE",4,3,"Jmax",NA,175.618511,-40.348268,TRUE,TRUE,128,4
"Jmax",24075,63,391,141,NA,2004-06-15 00:00:00,"00:00:00",92,2860,82.4,NA,NA,4,"Jmax",6,-92.77,39.02,NA,NA,82.4,NA
"Jmax",24076,63,391,141,NA,2004-06-15 00:00:00,"00:00:00",93,2860,82.84,NA,NA,4,"Jmax",6,-92.77,39.02,NA,NA,82.84,NA
"Jmax",24077,63,391,141,NA,2004-06-15 00:00:00,"00:00:00",94,1072,107.93,NA,NA,4,"Jmax",6,-92.77,39.02,NA,NA,107.93,NA
"Jmax",24078,63,391,141,NA,2004-06-15 00:00:00,"00:00:00",95,1072,118.07,NA,NA,4,"Jmax",6,-92.77,39.02,NA,NA,118.07,NA
"Jmax",24079,63,391,141,NA,2004-06-15 00:00:00,"00:00:00",96,1072,96.87,NA,NA,4,"Jmax",6,-92.77,39.02,NA,NA,96.87,NA
"Jmax",50664,489,311,1518,"warm temperature regime (25/18)",NA,NA,NA,1072,196.88,NA,NA,1,"Jmax",NA,-89.423525,43.077455,TRUE,TRUE,196.88,NA
"Jmax",50665,489,311,1518,"warm temperature regime (25/18)",NA,NA,NA,1072,177.41,NA,NA,2,"Jmax",NA,-89.423525,43.077455,TRUE,TRUE,177.41,NA
"Jmax",50666,489,311,1518,"warm temperature regime (25/18)",NA,NA,NA,1072,182.11,NA,NA,1,"Jmax",NA,-89.423525,43.077455,TRUE,TRUE,182.11,NA
