"id","genus","species","scientificname"
1243,"Salix","","Salix"
2583,"Salix","viminalis","Salix viminalis"
2869,"Salix","dasyclados","Salix dasyclados"
2870,"Salix","interior × eriocephala","Salix interior × eriocephala"
2872,"Salix","eriocephala × interior","Salix eriocephala × interior"
35796,"Salix","glauca","Salix glauca"
36606,"Salix","planifolia","Salix planifolia"
36702,"Salix","purpurea","Salix purpurea"
50922,"Salix","","Salix dasyclados phylicifolia"
51120,"Salix","sachalinensis × miyabeana","Salix sachalinensis × miyabeana"
51193,"Salix","Salix clone","Salix clone"
