".id","id","citation_id","site_id","treatment_id","name","date","time","cultivar_id","specie_id","mean","statname","stat","n","vname","month","lon","lat","control","greenhouse","mean_unconverted","stat_unconverted"
"Jmax",37540,381,602,1220,"observational",2010-06-01 00:00:00,"00:00:00",NA,51120,142.8433,NA,26.4699,5,"Jmax",6,NA,NA,TRUE,NA,142.8433,26.4699
"Jmax",51644,735,1125,2163,"Observational",2013-09-22 05:00:00,NA,462,36702,169,NA,NA,NA,"Jmax",9,-76.116337,42.79397,TRUE,NA,169,NA
"Jmax",51647,735,1125,2163,"Observational",2013-09-22 05:00:00,NA,462,36702,325,NA,NA,NA,"Jmax",9,-76.116337,42.79397,TRUE,NA,325,NA
"Jmax",25567,51,NA,1,"observational",NA,"00:00:00",NA,1243,146,"SE",3,1,"Jmax",NA,NA,NA,TRUE,NA,146,3
"Jmax",51614,735,1124,2163,"Observational",2013-07-09 05:00:00,NA,462,36702,210,NA,NA,NA,"Jmax",7,-76.11638,42.7941565,TRUE,NA,210,NA
"Jmax",51617,735,1124,2163,"Observational",2013-07-10 05:00:00,NA,462,36702,225,NA,NA,NA,"Jmax",7,-76.11638,42.7941565,TRUE,NA,225,NA
"Jmax",51620,735,1125,2163,"Observational",2013-07-10 05:00:00,NA,462,36702,179,NA,NA,NA,"Jmax",7,-76.116337,42.79397,TRUE,NA,179,NA
"Jmax",51623,735,1125,2163,"Observational",2013-07-11 05:00:00,NA,462,36702,180,NA,NA,NA,"Jmax",7,-76.116337,42.79397,TRUE,NA,180,NA
"Jmax",51626,735,1123,2163,"Observational",2013-09-21 05:00:00,NA,462,36702,329,NA,NA,NA,"Jmax",9,-76.11638,42.793379,TRUE,NA,329,NA
"Jmax",51629,735,1123,2163,"Observational",2013-09-21 05:00:00,NA,462,36702,293,NA,NA,NA,"Jmax",9,-76.11638,42.793379,TRUE,NA,293,NA
"Jmax",51632,735,1124,2163,"Observational",2013-09-24 05:00:00,NA,462,36702,139,NA,NA,NA,"Jmax",9,-76.11638,42.7941565,TRUE,NA,139,NA
"Jmax",51635,735,1124,2163,"Observational",2013-09-24 05:00:00,NA,462,36702,81.8,NA,NA,NA,"Jmax",9,-76.11638,42.7941565,TRUE,NA,81.8,NA
"Jmax",51638,735,1124,2163,"Observational",2013-09-24 05:00:00,NA,462,36702,215,NA,NA,NA,"Jmax",9,-76.11638,42.7941565,TRUE,NA,215,NA
"Jmax",51641,735,1125,2163,"Observational",2013-09-22 05:00:00,NA,462,36702,225,NA,NA,NA,"Jmax",9,-76.116337,42.79397,TRUE,NA,225,NA
"Jmax",51569,735,1123,2163,"Observational",2013-05-22 05:00:00,NA,462,36702,185,NA,NA,NA,"Jmax",5,-76.11638,42.793379,TRUE,NA,185,NA
"Jmax",51572,735,1123,2163,"Observational",2013-05-22 05:00:00,NA,462,36702,268,NA,NA,NA,"Jmax",5,-76.11638,42.793379,TRUE,NA,268,NA
"Jmax",51575,735,1124,2163,"Observational",2013-05-22 05:00:00,NA,462,36702,170,NA,NA,NA,"Jmax",5,-76.11638,42.7941565,TRUE,NA,170,NA
"Jmax",51578,735,1124,2163,"Observational",2013-05-22 05:00:00,NA,462,36702,268,NA,NA,NA,"Jmax",5,-76.11638,42.7941565,TRUE,NA,268,NA
"Jmax",51581,735,1125,2163,"Observational",2013-05-22 05:00:00,NA,462,36702,207,NA,NA,NA,"Jmax",5,-76.116337,42.79397,TRUE,NA,207,NA
"Jmax",51584,735,1125,2163,"Observational",2013-05-22 05:00:00,NA,462,36702,197,NA,NA,NA,"Jmax",5,-76.116337,42.79397,TRUE,NA,197,NA
"Jmax",51605,735,1123,2163,"Observational",2013-07-09 05:00:00,NA,462,36702,174,NA,NA,NA,"Jmax",7,-76.11638,42.793379,TRUE,NA,174,NA
"Jmax",51608,735,1123,2163,"Observational",2013-07-10 05:00:00,NA,462,36702,421,NA,NA,NA,"Jmax",7,-76.11638,42.793379,TRUE,NA,421,NA
"Jmax",51611,735,1123,2163,"Observational",2013-07-11 05:00:00,NA,462,36702,123,NA,NA,NA,"Jmax",7,-76.11638,42.793379,TRUE,NA,123,NA
